id,english_term,korean_term,abbreviation,category,workflow_stage,plain_description,business_example,related_terms,source_url,screen_hint,level,review_status
items-held-for-consolidation,Items Held for Consolidation,통합 보류 품목,,구매,구매요청,수요 집계를 위해 일반 발주 생성에서 제외되어 보류된 품목이다.,승인된 구매요청의 일부 라인이 통합 보류 품목으로 표시된다.,Demand Aggregation; Aggregated Requisition,https://help.sap.com/docs/buying-invoicing/purchasing-guide-for-procurement-professionals/about-workflow-of-purchase-requisitions-8b3f5dbe7a7b4427a1039a46dfe475d3,통합 보류 품목 테이블,고급,검수 필요
ordering-method,Ordering Method,발주 전송 방식,,구매,발주,발주서를 공급업체에 어떤 방식으로 전달할지 정하는 방식이다.,공급업체별로 SAP Business Network 전송이나 이메일 전송 방식을 설정한다.,Purchase Order; SAP Business Network,https://help.sap.com/docs/buying-invoicing/purchasing-guide-for-procurement-professionals/purchase-order-process-6b32ab8fc1da1014bbcef40b7787d981,공급업체/발주 설정,실무,검수 필요
order-routing,Order Routing,주문 라우팅,,공급업체 네트워크,발주,발주서가 공급업체에게 전달되는 경로와 방식을 정하는 설정이다.,공급업체가 네트워크 계정으로 주문을 받도록 주문 라우팅을 설정한다.,Ordering Method; Purchase Order,https://help.sap.com/docs/business-network-for-procurement/introduction-to-business-network/about-sap-business-network,주문 라우팅 설정,실무,검수 필요
manual-order,Manual Order,수동 발주,,구매,발주,SAP Business Network 대신 팩스나 이메일 같은 수동 방식으로 전달되는 발주다.,네트워크에 연결되지 않은 공급업체에는 수동 발주를 보낸다.,Purchase Order; Ordering Method,https://help.sap.com/docs/buying-invoicing/purchasing-guide-for-procurement-professionals/purchase-order-process-6b32ab8fc1da1014bbcef40b7787d981,발주 전송 방식,실무,검수 필요
change-order,Change Order,변경 발주,,구매,발주,이미 발행된 발주서의 수량이나 일정 등 조건을 변경하는 문서나 처리다.,납기가 바뀌어 기존 발주서에 변경 발주를 보낸다.,Purchase Order; Order Confirmation,https://help.sap.com/docs/business-network-for-trading-partners/receiving-and-fulfilling-orders/order-confirmations,발주 변경/공급업체 응답,실무,검수 필요
cancel-order,Cancel Order,발주 취소,,구매,발주,이미 생성된 발주서를 취소하는 처리다.,품목 구매가 불필요해져 공급업체에 발주 취소가 전달된다.,Purchase Order; Change Order,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,발주서 상세,실무,검수 필요
control-key,Control Key,제어 키,,공급업체 네트워크,발주,공급업체가 주문 확인이나 출하 통지를 만들어야 하는지 제어하는 키다.,발주 라인의 제어 키가 주문 확인을 필수로 요구한다.,Order Confirmation; Ship Notice,https://help.sap.com/docs/business-network-for-supply-chain/business-network-buyer-administration/order-confirmation-and-ship-notice-control-keys,발주 라인 상세/거래 규칙,고급,검수 필요
transaction-rule,Transaction Rule,거래 규칙,,공급업체 네트워크,공급업체 협업,SAP Business Network에서 공급업체 거래 문서 작성 방식을 제어하는 규칙이다.,출하 예정일이 과거인 주문 확인을 막는 거래 규칙을 설정한다.,Order Confirmation; Ship Notice,https://help.sap.com/docs/business-network-for-procurement/business-network-supply-chain-integration-configuration/order-confirmation-and-ship-notice-rules-05c383a5d7714885b6fb1909ce52f63a,기본 거래 규칙,고급,검수 필요
receipt,Receipt,수령 확인,,입고,입고,물품이나 서비스가 도착했음을 시스템에 기록한 문서 또는 처리 결과다.,요청자가 도착한 물품 수량을 수령 확인으로 입력한다.,Goods Receipt; Receiving,https://help.sap.com/docs/buying-invoicing/purchasing-guide-for-procurement-professionals/about-workflow-of-purchase-requisitions-8b3f5dbe7a7b4427a1039a46dfe475d3,입고/수령 확인,기본,검수 필요
partial-receipt,Partial Receipt,부분 입고,,입고,입고,주문 수량 중 일부만 도착했을 때 일부 수량만 입고 처리하는 것이다.,10개 중 4개가 먼저 도착해 부분 입고를 등록한다.,Receipt; Goods Receipt,https://help.sap.com/docs/buying-invoicing/purchasing-guide-for-procurement-professionals/about-workflow-of-purchase-requisitions-8b3f5dbe7a7b4427a1039a46dfe475d3,입고 상세,기본,검수 필요
negative-receipt,Negative Receipt,마이너스 입고,,입고,입고,반품이나 정정을 위해 기존 입고 수량을 줄이는 입고 처리다.,잘못 입고한 수량을 마이너스 입고로 조정한다.,Receipt; Return,https://help.sap.com/docs/buying-invoicing/invoicing-and-payment-process-guide/workflow-for-goods-receipt-based-invoice-verification-in-sap-ariba-buying-and-invoicing-aede7515ef3148f5a0f96e05d8670438,입고 정정/반품,고급,검수 필요
return,Return,반품,,입고,입고,받은 물품을 공급업체에 되돌리는 처리다.,손상된 물품을 반품하고 입고 수량을 조정한다.,Negative Receipt; Receipt,https://help.sap.com/docs/buying-invoicing/invoicing-and-payment-process-guide/workflow-for-goods-receipt-based-invoice-verification-in-sap-ariba-buying-and-invoicing-aede7515ef3148f5a0f96e05d8670438,반품/입고 정정,실무,검수 필요
service-sheet,Service Sheet,서비스 시트,,입고,입고,서비스 제공 내역을 공급업체나 구매자가 작성해 승인받는 문서다.,공급업체가 수행한 유지보수 내역을 서비스 시트로 제출한다.,Service Entry Sheet; Purchase Order,https://help.sap.com/docs/buying-invoicing/purchasing-guide-for-procurement-professionals/purchase-order-process-6b32ab8fc1da1014bbcef40b7787d981,서비스 시트,실무,검수 필요
lean-service,Lean Service,린 서비스,,입고,입고,간소화된 방식으로 처리되는 서비스 품목 유형이다.,간단한 현장 작업을 린 서비스 품목으로 주문한다.,Service Sheet; Order Confirmation,https://help.sap.com/docs/business-network-for-trading-partners/receiving-and-fulfilling-orders/order-confirmations,서비스 품목/주문 확인,고급,검수 필요
ship-notice,Ship Notice,출하 통지,,공급업체 네트워크,입고,공급업체가 발주 품목을 출하했거나 출하할 예정임을 구매자에게 알리는 문서다.,공급업체가 발주서 상세에서 출하 통지를 생성한다.,Advance Ship Notice; Receiving,https://help.sap.com/docs/sisgw/sap-ariba-cloud-integration-gateway-overview-guide/ship-notice,출하 통지 목록/상세,기본,검수 필요
carrier,Carrier,운송업체,,공급업체 네트워크,입고,출하된 물품을 운송하는 업체다.,출하 통지에 운송업체와 추적 번호가 포함된다.,Ship Notice; Tracking Number,https://help.sap.com/docs/business-network-for-procurement/business-network-buyer-administration/viewing-ship-notices,출하 통지 상세,기본,검수 필요
tracking-number,Tracking Number,운송장 번호,,공급업체 네트워크,입고,배송 상태를 추적하기 위한 번호다.,구매자가 출하 통지의 운송장 번호로 배송 상태를 확인한다.,Ship Notice; Carrier,https://help.sap.com/docs/business-network-for-procurement/business-network-buyer-administration/viewing-ship-notices,출하 통지 상세,기본,검수 필요
packing-slip,Packing Slip,포장 명세서,,공급업체 네트워크,입고,배송 물품의 구성과 수량을 알려주는 문서다.,입고 담당자가 포장 명세서와 실제 수량을 비교한다.,Ship Notice; Receipt,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,배송/입고 문서,실무,검수 필요
supplier-location,Supplier Location,공급업체 위치,,공급업체 네트워크,공급업체 온보딩,공급업체의 특정 사업장이나 거래 위치를 나타내는 단위다.,특정 공급업체 위치에 입고 기준 송장 검증 설정을 적용한다.,Supplier; Goods Receipt-Based Invoice Verification,https://help.sap.com/docs/buying-invoicing/invoicing-and-payment-process-guide/workflow-for-goods-receipt-based-invoice-verification-in-sap-ariba-buying-and-invoicing-aede7515ef3148f5a0f96e05d8670438,공급업체 위치 설정,고급,검수 필요
goods-receipt-based-invoice-verification,Goods Receipt-Based Invoice Verification,입고 기준 송장 검증,GR-IV,송장,송장,송장 라인을 입고 내역과 연결해 지급 가능성을 검증하는 방식이다.,입고가 있어야 해당 송장 라인이 대사 통과된다.,Goods Receipt; Invoice Reconciliation,https://help.sap.com/docs/buying-invoicing/invoicing-and-payment-process-guide/workflow-for-goods-receipt-based-invoice-verification-in-sap-ariba-buying-and-invoicing-aede7515ef3148f5a0f96e05d8670438,송장 대사/입고 기준 검증,고급,검수 필요
reconciliation-rule,Reconciliation Rule,대사 규칙,,송장,송장,송장과 발주 및 입고를 비교할 때 적용하는 검증 규칙이다.,허용 오차를 넘는 금액 차이가 있으면 대사 예외를 만든다.,Invoice Reconciliation; Exception,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,송장 대사 규칙,고급,검수 필요
exception-handler,Exception Handler,예외 처리자,,송장,송장,송장 예외를 검토하고 해결하는 담당자다.,가격 차이 예외가 구매 담당자에게 배정되어 처리된다.,Invoice Exception; Invoice Reconciliation,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,송장 예외 처리,실무,검수 필요
invoice-status,Invoice Status,송장 상태,,송장,송장,송장이 생성부터 대사와 승인 및 지급까지 어디에 있는지 나타내는 상태다.,공급업체가 송장 상태를 보고 지급 처리 진행 여부를 확인한다.,Invoice; Payment Request,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,송장 목록/상태,기본,검수 필요
remit-to,Remit To,지급처,,송장,지급,대금을 지급받을 공급업체 계좌나 주소 정보를 나타내는 대상이다.,송장에 등록된 지급처 정보로 대금 지급이 처리된다.,Invoice; Payment Request,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,송장/공급업체 지급 정보,실무,검수 필요
payment-terms,Payment Terms,지급 조건,,송장,지급,대금을 언제 어떤 조건으로 지급할지 정한 조건이다.,30일 내 지급 조건이 송장 지급 예정일 계산에 사용된다.,Invoice; Contract; Discount Terms,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,계약/송장 지급 조건,기본,검수 필요
discount-terms,Discount Terms,할인 조건,,송장,지급,조기 지급 같은 조건을 만족할 때 적용되는 할인 조건이다.,10일 내 지급하면 2% 할인을 받는 조건이 설정된다.,Payment Terms; Invoice,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,지급 조건/송장,실무,검수 필요
tax,Tax,세금,,송장,송장,구매나 송장에 적용되는 세금 정보다.,송장 라인에 부가세가 계산되어 표시된다.,Invoice; VAT,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,송장 세금 정보,기본,검수 필요
vat,Value Added Tax,부가가치세,VAT,송장,송장,상품이나 서비스 거래에 부과되는 부가가치세다.,공급업체 송장에 VAT 금액이 포함된다.,Tax; Invoice,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,송장 세금 정보,기본,검수 필요
unit-of-measure,Unit of Measure,단위,UOM,구매,구매요청,품목 수량을 측정하는 기준 단위다.,노트북은 EA 단위로 요청하고 서비스는 HOUR 단위로 요청한다.,Item; Quantity,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,품목 라인,기본,검수 필요
quantity,Quantity,수량,,구매,구매요청,구매하거나 입고하거나 송장 처리할 품목의 개수 또는 양이다.,발주 수량과 입고 수량이 다르면 송장 대사에서 차이가 발생할 수 있다.,Line Item; Unit of Measure,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,문서 라인,기본,검수 필요
price,Price,가격,,구매,구매요청,품목이나 서비스의 단가 또는 금액이다.,계약 단가와 송장 가격이 다르면 예외가 발생한다.,Contract; Invoice Exception,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,품목 가격/계약 단가,기본,검수 필요
split-accounting,Split Accounting,분할 회계,,구매,구매요청,하나의 구매 비용을 여러 비용센터나 계정에 나누어 배부하는 방식이다.,공동 프로젝트 비용을 두 부서 비용센터에 나누어 배부한다.,Accounting; Cost Center,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,회계 정보/비용 배부,실무,검수 필요
budget-check,Budget Check,예산 확인,,구매,승인,구매요청이 사용 가능한 예산 범위 안에 있는지 확인하는 절차다.,예산을 초과한 구매요청이 승인 전에 차단된다.,Requisition; Approval,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,예산 확인/승인,실무,검수 필요
rfi,Request for Information,정보 요청,RFI,소싱,소싱,공급업체 역량이나 시장 정보를 파악하기 위해 정보를 요청하는 이벤트다.,구매팀이 신규 공급업체의 생산 능력을 확인하기 위해 RFI를 발행한다.,Sourcing Event; Supplier,https://help.sap.com/docs/strategic-sourcing/event-management/sap-ariba-sourcing-event-process-7c23b02f71ea1014ac1cc01462d30873,소싱 이벤트 생성,기본,검수 필요
rfp,Request for Proposal,제안 요청,RFP,소싱,소싱,공급업체에게 해결 방안이나 제안서를 요청하는 소싱 이벤트다.,시스템 구축 프로젝트에서 공급업체에게 기술 제안과 가격을 제출하게 한다.,Sourcing Event; Bid; Award,https://help.sap.com/docs/strategic-sourcing/event-management/sap-ariba-sourcing-event-process-7c23b02f71ea1014ac1cc01462d30873,소싱 이벤트 생성,기본,검수 필요
auction,Auction,경매,,소싱,소싱,공급업체가 경쟁 방식으로 가격이나 조건을 제시하는 소싱 이벤트 유형이다.,역경매에서 공급업체들이 더 낮은 가격을 제안한다.,Sourcing Event; Bid,https://help.sap.com/docs/strategic-sourcing/event-management/sap-ariba-sourcing-event-process-7c23b02f71ea1014ac1cc01462d30873,경매 이벤트,실무,검수 필요
participant,Participant,참여자,,소싱,소싱,소싱 이벤트에 초대되어 응답하는 공급업체나 사용자다.,세 개 공급업체가 RFQ 이벤트 참여자로 초대된다.,Sourcing Event; Bid,https://help.sap.com/docs/strategic-sourcing/event-management/sap-ariba-sourcing-event-process-7c23b02f71ea1014ac1cc01462d30873,이벤트 참여자,기본,검수 필요
event-status,Event Status,이벤트 상태,,소싱,소싱,소싱 이벤트가 생성부터 응답과 선정까지 어느 단계에 있는지 나타내는 상태다.,이벤트 상태가 Open이면 공급업체가 응답을 제출할 수 있다.,Sourcing Event; Award,https://help.sap.com/docs/strategic-sourcing/event-management/sap-ariba-sourcing-event-process-7c23b02f71ea1014ac1cc01462d30873,이벤트 목록/상세,실무,검수 필요
event-template,Event Template,이벤트 템플릿,,소싱,소싱,소싱 이벤트의 규칙과 콘텐츠 구조를 미리 정의한 템플릿이다.,RFQ 템플릿으로 가격 조건과 질문 구성을 재사용한다.,Sourcing Event; Template,https://help.sap.com/docs/strategic-sourcing/event-management/sap-ariba-sourcing-event-process-7c23b02f71ea1014ac1cc01462d30873,이벤트 템플릿,실무,검수 필요
event-content,Event Content,이벤트 콘텐츠,,소싱,소싱,공급업체가 응답해야 하는 질문과 품목 및 조건 정보다.,소싱 이벤트 콘텐츠에 기술 요구사항과 가격 라인을 넣는다.,Sourcing Event; RFP,https://help.sap.com/docs/strategic-sourcing/event-management/sap-ariba-sourcing-event-process-7c23b02f71ea1014ac1cc01462d30873,이벤트 콘텐츠,실무,검수 필요
lot,Lot,로트,,소싱,소싱,소싱 이벤트에서 여러 품목이나 서비스를 묶어 평가하는 단위다.,지역별 물류 서비스를 로트로 나누어 공급업체 응답을 받는다.,Sourcing Event; Line Item,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,이벤트 품목/로트,실무,검수 필요
scoring,Scoring,점수 평가,,소싱,소싱,공급업체 응답을 가격과 품질 등 기준에 따라 점수화하는 평가 방식이다.,가격 60%와 기술 40% 기준으로 제안을 점수 평가한다.,Bid; Award,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,이벤트 평가,실무,검수 필요
contract-request,Contract Request,계약 요청,,계약,계약,새 계약을 만들거나 검토하기 위해 제출하는 요청이다.,구매팀이 선정된 공급업체와 계약을 시작하기 위해 계약 요청을 만든다.,Contract Workspace; Approval,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,계약 요청/워크스페이스,실무,검수 필요
contract-terms,Contract Terms,계약 조건,,계약,계약,계약에 포함된 가격과 기간 및 지급 조건 같은 조건이다.,계약 조건에 연간 단가와 지급 조건이 포함된다.,Contract; Payment Terms,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,계약 조건,기본,검수 필요
clause,Clause,조항,,계약,계약,계약 문서 안의 개별 법적 또는 업무 조건 문구다.,비밀유지 조항과 납기 지연 조항을 계약서에 포함한다.,Contract; Contract Terms,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,계약 문서/조항,실무,검수 필요
contract-renewal,Contract Renewal,계약 갱신,,계약,계약,기존 계약 기간을 연장하거나 새로운 조건으로 다시 체결하는 절차다.,만료 예정인 유지보수 계약을 1년 갱신한다.,Contract; Contract Workspace,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,계약 만료/갱신,실무,검수 필요
contract-expiration,Contract Expiration,계약 만료,,계약,계약,계약의 유효 기간이 끝나는 상태나 시점이다.,계약 만료 전에 담당자에게 갱신 검토 작업이 배정된다.,Contract Renewal; Task,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,계약 기간/알림,실무,검수 필요
questionnaire,Questionnaire,설문,,공급업체 네트워크,공급업체 온보딩,공급업체나 내부 사용자가 필요한 정보를 입력하도록 만든 질문 묶음이다.,공급업체 등록 시 세금 정보와 인증 정보를 설문으로 수집한다.,Supplier Registration; Qualification,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,공급업체 설문,기본,검수 필요
registration-questionnaire,Registration Questionnaire,등록 설문,,공급업체 네트워크,공급업체 온보딩,공급업체 등록 과정에서 제출해야 하는 설문이다.,신규 공급업체가 등록 설문을 작성해 구매자에게 제출한다.,Supplier Registration; Questionnaire,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,공급업체 등록 설문,실무,검수 필요
qualification-questionnaire,Qualification Questionnaire,자격 심사 설문,,공급업체 네트워크,공급업체 온보딩,공급업체 자격을 평가하기 위해 사용하는 설문이다.,안전 인증 보유 여부를 자격 심사 설문에서 확인한다.,Qualification; Questionnaire,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,공급업체 자격 설문,실무,검수 필요
certificate,Certificate,인증서,,공급업체 네트워크,공급업체 온보딩,공급업체가 보유한 자격이나 인증을 증명하는 문서다.,공급업체가 ISO 인증서를 제출해 자격 심사를 통과한다.,Qualification; Supplier Profile,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,공급업체 프로필/인증,실무,검수 필요
supplier-risk,Supplier Risk,공급업체 리스크,,공급업체 네트워크,공급업체 온보딩,공급업체와 거래할 때 발생할 수 있는 재무와 운영 및 규정 준수 위험이다.,고위험 공급업체는 추가 심사를 거친 뒤 등록된다.,Supplier; Qualification,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,공급업체 리스크/심사,고급,검수 필요
erp,Enterprise Resource Planning,ERP,ERP,공통,공통,구매와 회계 및 재고 같은 기업 운영 데이터를 관리하는 백엔드 시스템이다.,승인된 발주와 송장 정보가 ERP로 전송된다.,SAP Ariba; Integration,https://help.sap.com/docs/buying-invoicing/invoicing-and-payment-process-guide/workflow-for-goods-receipt-based-invoice-verification-in-sap-ariba-buying-and-invoicing-aede7515ef3148f5a0f96e05d8670438,ERP 연계,기본,검수 필요
integration,Integration,연계,,공통,공통,SAP Ariba와 ERP 또는 SAP Business Network 사이에서 데이터를 주고받는 연결이다.,발주서와 송장 상태가 연계를 통해 백엔드 시스템과 동기화된다.,ERP; cXML; EDI,https://help.sap.com/docs/sisgw/sap-ariba-cloud-integration-gateway-overview-guide/ship-notice,시스템 연계,실무,검수 필요
cxml,cXML,cXML,cXML,공통,공통,구매 거래 문서를 시스템 간에 주고받기 위한 XML 기반 메시지 형식이다.,통합 공급업체가 cXML로 주문 확인을 자동 전송한다.,Integration; EDI; Order Confirmation,https://help.sap.com/docs/business-network-for-trading-partners/receiving-and-fulfilling-orders/order-confirmations,통합 메시지,고급,검수 필요
edi,Electronic Data Interchange,전자문서교환,EDI,공통,공통,기업 간 거래 문서를 표준 전자 형식으로 주고받는 방식이다.,공급업체가 EDI로 주문 확인을 자동 제출한다.,Integration; cXML; Order Confirmation,https://help.sap.com/docs/business-network-for-trading-partners/receiving-and-fulfilling-orders/order-confirmations,통합 메시지,고급,검수 필요
notification,Notification,알림,,공통,승인,사용자에게 승인이나 문서 상태 변경을 알려주는 메시지다.,구매요청이 승인 대기 상태가 되면 승인자에게 알림이 전송된다.,Approval Flow; Task,https://help.sap.com/docs/buying-invoicing/purchasing-guide-for-procurement-professionals/about-workflow-of-purchase-requisitions-8b3f5dbe7a7b4427a1039a46dfe475d3,알림/이메일,기본,검수 필요
